timestamp,tdc,tac,pdc,pac1,pac2,pac3,pac4,pac5,pac6,pac7,pac8,pac9,pac10,pac11,pac12,pac13,pac14,pac15,pac16,pac17,pac18,pac19,pac20,pac21,pac22,ele1,ele2,ele3,ele4,ele5,ele6,ele7,ele8,ele9,ele10,ele11,ele12,ele13,ele14,ele15,ele16,ele17,ele18,ele19
1581074106.185540975,9,70,68,709,729,735,751,768,786,801,818,830,843,854,878,897,914,924,950,961,987,993,1010,1028,1026,67,15,14,36,15,36,18,5,4,5,13,6,7,14,15,22,6,16,20,
1581074106.195542429,10,68,79,1035,1041,1052,1064,1079,1076,1091,1104,1104,1106,1107,1129,1126,1132,1129,1146,1133,1130,1141,1154,1152,1147,69,12,16,37,15,37,19,4,5,6,29,9,10,20,19,27,5,18,22,
1581074106.205523063,10,68,89,1155,1162,1152,1144,1153,1153,1152,1148,1143,1134,1120,1132,1140,1134,1109,1111,1115,1106,1093,1082,1072,1066,75,12,18,40,15,38,20,2,7,3,44,11,14,26,22,30,2,19,24,
1581074106.215525230,9,67,94,1052,1057,1043,1031,1025,1019,1015,989,981,965,945,934,926,903,888,864,844,807,793,771,769,749,75,11,19,36,11,36,21,0,6,2,58,11,13,28,23,30,0,18,24,
1581074106.225523278,9,68,94,732,707,691,687,654,633,614,602,570,538,530,527,490,480,459,450,416,393,374,353,328,309,74,8,19,34,8,33,16,1,7,0,64,9,13,28,23,29,1,18,22,
1581074106.235617871,9,69,91,284,252,222,211,196,193,162,138,119,103,84,65,49,26,11,8,32,42,51,80,111,120,76,7,17,32,7,30,12,0,7,2,64,6,10,23,19,22,4,15,20,
1581074106.245557920,10,68,85,114,140,161,167,169,190,215,241,261,279,285,301,333,346,349,356,369,387,397,404,415,424,79,7,15,29,6,31,8,0,7,4,62,5,8,19,18,17,4,13,17,
1581074106.255594910,9,65,76,447,475,490,475,470,488,512,502,515,534,547,567,599,592,610,631,641,649,676,690,692,685,72,7,13,26,7,26,6,1,4,2,62,5,8,19,16,16,3,12,15,
1581074106.265620119,9,65,67,690,691,690,663,625,631,625,640,644,641,623,634,643,674,704,729,762,786,781,799,802,782,63,4,13,23,6,22,4,1,2,0,61,5,10,20,16,16,3,13,15,
1581074106.275589371,10,67,62,793,835,828,820,819,797,766,750,728,727,722,715,717,694,670,657,657,665,666,669,681,683,51,4,12,18,5,16,3,0,0,0,63,9,9,20,16,17,1,12,14,
1581074106.285541775,10,67,56,660,661,664,676,671,661,656,646,624,627,668,676,609,576,562,551,546,560,573,544,506,478,50,5,10,17,7,16,1,1,0,1,55,7,9,18,13,16,2,9,12,
1581074106.295611705,9,69,55,482,459,436,426,447,406,363,354,347,340,358,374,375,361,348,367,375,350,350,355,359,362,51,4,10,18,6,18,2,1,1,0,49,6,8,15,12,13,1,9,12,
1581074106.305559701,9,70,55,370,381,380,371,377,383,371,337,300,280,275,246,239,202,177,180,197,167,158,158,146,148,53,6,9,19,7,21,0,2,1,1,39,4,4,12,11,10,0,10,13,
1581074106.315531663,10,69,51,151,168,166,188,206,252,282,295,273,255,242,248,255,245,234,214,229,226,229,201,188,160,52,5,8,18,7,20,1,2,0,1,38,2,4,11,9,10,1,10,12,
1581074106.325522835,9,70,50,168,166,172,152,134,142,123,124,124,122,122,125,111,105,118,128,137,153,180,193,181,177,54,7,10,20,7,20,1,2,1,1,39,4,5,11,9,9,0,9,12,
1581074106.335520285,9,71,52,210,193,190,197,193,166,130,123,120,121,103,84,79,63,53,38,44,40,28,44,72,85,52,7,9,19,7,20,1,3,0,2,41,4,5,12,11,12,0,9,11,
1581074106.345503272,10,71,50,83,105,115,114,125,151,179,169,152,143,146,125,83,76,65,56,31,48,59,23,2,17,48,6,8,17,8,17,1,2,0,2,41,4,6,13,11,12,0,10,12,
